step,wall_us,t_min_us,t_max_us,t_mean_us,imbalance_pct,elems_min,elems_max,gflops
0,87658.9,85353.1,87643.1,86498.1,2.64747,10000,10000,1.7397
1,86472,85234.9,86457,85845.9,1.42364,10000,10000,1.76358
2,85782.1,84712,85768,85240,1.2388,10000,10000,1.77776
3,80550,80503,80535.2,80519.1,0.0399738,10000,10000,1.89324
4,91773,85690,91754,88722,6.83476,10000,10000,1.66171
5,84554.9,79029.8,84536.8,81783.3,6.73364,10000,10000,1.80356
6,96030,91279,96011.2,93645.1,5.05326,10000,10000,1.58805
7,85164.1,84469.8,85147.9,84808.8,0.799519,10000,10000,1.79066
8,82749.1,82135.9,82735.1,82435.5,0.726806,10000,10000,1.84292
9,88395.1,84457.9,88378,86417.9,4.53619,10000,10000,1.72521
10,87188,77952.9,87168.9,82560.9,11.1628,10000,10000,1.74909
11,80210.9,79785.1,80195.9,79990.5,0.513555,10000,10000,1.90124
12,87611,86123.9,87559.9,86841.9,1.65357,10000,10000,1.74065
13,88960.2,80395,88942.1,84668.5,10.0947,10000,10000,1.71425
14,87299.1,82518.1,87277.9,84898,5.60648,10000,10000,1.74687
15,88218,82907.9,88201,85554.5,6.18685,10000,10000,1.72867
16,88058,84200.9,88038,86119.4,4.45557,10000,10000,1.73181
17,87632.9,84226.8,87616,85921.4,3.94444,10000,10000,1.74021
18,87195.2,81029.2,87176.1,84102.6,7.30882,10000,10000,1.74895
19,80511.1,80249.1,80494.9,80372,0.30584,10000,10000,1.89415
20,87362.1,83203.1,87345.1,85274.1,4.85733,10000,10000,1.74561
21,86986.8,86967,86973,86970,0.00685347,10000,10000,1.75314
22,89097,84832.2,89082,86957.1,4.88725,10000,10000,1.71162
23,84621,80889,84601.2,82745.1,4.48628,10000,10000,1.80215
24,88113.1,87854.9,88097.8,87976.3,0.276152,10000,10000,1.73073
25,86261,85925.8,86245.8,86085.8,0.371673,10000,10000,1.76789
26,81156,80938.8,81142.9,81040.9,0.251831,10000,10000,1.8791
27,90545.9,89211.9,90530.9,89871.4,1.46758,10000,10000,1.68423
28,84381.8,78502.2,84365.1,81433.7,7.19967,10000,10000,1.80726
29,95201,89679,95174.1,92426.5,5.94534,10000,10000,1.60187
30,86730,85499,86712.8,86105.9,1.40965,10000,10000,1.75833
31,86746,78194.9,86726.9,82460.9,10.3468,10000,10000,1.75801
32,87945.9,84309.1,87930,86119.5,4.20446,10000,10000,1.73402
33,89136.8,80956,89119,85037.5,9.59927,10000,10000,1.71085
34,84755.9,83502.1,84740.9,84121.5,1.47266,10000,10000,1.79928
35,85985.9,85727,85972.1,85849.5,0.285493,10000,10000,1.77355
36,86704,85035.8,86689,85862.4,1.9254,10000,10000,1.75886
37,86845.2,85185.1,86828.9,86007,1.91135,10000,10000,1.756
38,86641.1,84329.8,86623.9,85476.9,2.68384,10000,10000,1.76014
39,90482,82212.2,90465.1,86338.6,9.55871,10000,10000,1.68542
40,87828.2,83684,87810,85747,4.81191,10000,10000,1.73635
41,87404,79501.2,87386.1,83443.6,9.44947,10000,10000,1.74477
42,80843,80515.9,80827,80671.4,0.385683,10000,10000,1.88637
43,86238.1,84812.9,86222.9,85517.9,1.64879,10000,10000,1.76836
44,87222.1,86824.9,87204.9,87014.9,0.436752,10000,10000,1.74841
45,86883.1,85177.9,86866.9,86022.4,1.96339,10000,10000,1.75523
46,86226,83436,86211,84823.5,3.27145,10000,10000,1.76861
47,87679.9,85219.9,87664.8,86442.4,2.82845,10000,10000,1.73928
48,87962.9,86599.8,87947.1,87273.5,1.54377,10000,10000,1.73369
49,80215,79681.9,80200.9,79941.4,0.649272,10000,10000,1.90114
50,88342,85026,88325,86675.5,3.80615,10000,10000,1.72625
51,88778,80773.1,88761.1,84767.1,9.42344,10000,10000,1.71777
52,86302,84396.1,86285.1,85340.6,2.21347,10000,10000,1.76705
53,89232.2,86499,89215,87857,3.09146,10000,10000,1.70902
54,85855,84666,85835.9,85251,1.37232,10000,10000,1.77625
55,88030.8,84308.1,88011,86159.6,4.2977,10000,10000,1.73235
56,88506.9,80063.8,88486.9,84275.4,9.99472,10000,10000,1.72303
57,82138.1,81265.9,82124.9,81695.4,1.05149,10000,10000,1.85663
58,87529.9,86304.9,87513.9,86909.4,1.39113,10000,10000,1.74226
59,88308.8,86046,88293.1,87169.5,2.57784,10000,10000,1.72689
60,86689.9,85212.9,86674,85943.5,1.69999,10000,10000,1.75914
61,88522,84945,88309,86627,3.88341,10000,10000,1.72274
62,87572.8,85174.8,87544,86359.4,2.74338,10000,10000,1.74141
63,87096,81383.9,87077.1,84230.5,6.75907,10000,10000,1.75094
64,80030.9,80012.1,80013,80012.6,0.00119191,10000,10000,1.90551
65,87309.8,83879.9,87288.1,85584,3.98228,10000,10000,1.74665
66,87286.2,85164.1,87270,86217,2.44262,10000,10000,1.74713
67,88447.1,83666.1,88428,86047.1,5.5341,10000,10000,1.72419
68,87550.9,87090,87535.9,87312.9,0.510626,10000,10000,1.74184
69,86315.9,84636,86299.9,85467.9,1.94684,10000,10000,1.76677
70,86273,86166.9,86257.9,86212.4,0.105641,10000,10000,1.76765
71,87647.9,81136.9,87630,84383.5,7.69474,10000,10000,1.73992
72,80376.9,80028.1,80362.1,80195.1,0.416515,10000,10000,1.89731
73,87984.8,83249.1,87969.1,85609.1,5.5134,10000,10000,1.73325
74,91353.9,87223.1,91326,89274.5,4.59587,10000,10000,1.66933
75,86649.9,79441.1,86633,83037,8.66107,10000,10000,1.75996
76,87404,85202.9,87385.9,86294.4,2.52967,10000,10000,1.74477
77,86403.1,84208,86387.9,85297.9,2.55558,10000,10000,1.76498
78,87729.9,85958,87715.1,86836.6,2.02351,10000,10000,1.73829
79,81563,81412.1,81548,81480,0.166788,10000,10000,1.86972
80,86672.1,84754.9,86655.9,85705.4,2.21796,10000,10000,1.75951
81,87075,86928.1,87064,86996.1,0.156212,10000,10000,1.75136
82,129480,90877.1,129465,110171,35.0254,10000,10000,1.17779
83,158618,114412,158600,136506,32.3707,10000,10000,0.96143
84,117768,110299,117748,114023,6.533,10000,10000,1.29492
85,85829,81314.1,85809,83561.5,5.37916,10000,10000,1.77679
86,101951,100036,101935,100985,1.88047,10000,10000,1.49581
87,82801.8,81996,82782,82389,0.954091,10000,10000,1.84175
88,86726.9,85123.1,86712.1,85917.6,1.84952,10000,10000,1.75839
89,87071.9,84302.9,87055,85678.9,3.21207,10000,10000,1.75143
90,87189.2,80658.9,87163.9,83911.4,7.75224,10000,10000,1.74907
91,87346.8,80180.2,87323,83751.6,8.52854,10000,10000,1.74591
92,101408,92486.9,101390,96938.4,9.18421,10000,10000,1.50383
93,80626,80322,80611,80466.5,0.35911,10000,10000,1.89145
